step,temperature_C,pressure_bar,machine_speed,material_ratio,predicted_quality,predicted_energy
0,440.0,4.25,115.0,0.32,95.1079881018998,35.044556256309676
1,439.82756186727494,4.245460504524673,115.07194040057927,0.319696235022056,95.13922851198346,34.870561936797095
2,439.6896113610949,4.241828908144412,115.12949272104268,0.31945322303970086,95.1305885911354,34.829706190614885
3,439.5792509561508,4.238923631040203,115.17553457741342,0.31925881345381674,95.15288886795622,34.82592811396222
4,439.4909626321956,4.2365994093568355,115.21236806251,0.31910328578510944,95.14344825674432,34.8372244460633
5,439.4203319730314,4.234740032010142,115.24183485058727,0.3189788636501436,95.13640186190581,34.83157261811897
6,439.36382744570005,4.233252530132787,115.26540828104908,0.31887932594217094,95.13685443651926,34.83739267024376
7,439.31862382383497,4.232062528630903,115.28426702541853,0.3187996957757928,95.13685443651926,34.78874718014997
8,439.28246092634294,4.231110527429395,115.2993540209141,0.3187359916426903,95.13685443651926,34.76423478772541
9,439.2535306083493,4.2303489264681895,115.31142361731054,0.31868502833620826,95.17498908336543,34.741640605039954
10,439.2303863539544,4.229739645699225,115.3210792944277,0.31864425769102267,95.18917502601849,34.741640605039954
11,439.2118709504384,4.229252221084053,115.32880383612144,0.31861164117487417,95.17231410346294,34.74541868169262
12,439.19705862762567,4.2288622813919154,115.33498346947641,0.3185855479619554,95.17231410346294,34.74541868169262
13,439.1852087693755,4.228550329638206,115.3399271761604,0.3185646733916203,95.14458652938323,34.74541868169262
14,439.17572888277533,4.228300768235238,115.34388214150759,0.31854797373535226,95.14458652938323,34.74541868169262
15,439.1681449734952,4.228101119112864,115.34704611378534,0.31853461401033784,95.14458652938323,34.74541868169262
16,439.1620778460711,4.227941399814965,115.34957729160755,0.3185239262303263,95.14458652938323,34.74541868169262
17,439.1572241441318,4.227813624376645,115.35160223386531,0.3185153760063171,95.14458652938323,34.74541868169262
18,439.1533411825804,4.227711404025989,115.35322218767152,0.3185085358271097,95.14458652938323,34.74541868169262
19,439.15023481333924,4.227629627745465,115.35451815071649,0.3185030636837438,95.14458652938323,34.73735347366931
20,439.14774971794634,4.227564206721045,115.35555492115246,0.31849868596905107,95.14458652938323,34.73735347366931
