step,temperature_C,pressure_bar,machine_speed,material_ratio,predicted_quality,predicted_energy,quality_error,energy_error,within_target
0,475.0,3.8,127.0,0.32,91.23588414552307,35.65098761865408,3.92358791154453,0.9146096037564746,False
1,466.03445233409366,3.9068256306558418,124.08992550072409,0.31962029377757006,92.80185914519299,35.67446709628849,2.357612911874611,0.9380890813908849,False
2,459.3102915846639,3.986944853647723,121.90736962626715,0.31933551411074756,93.30924295806857,35.43933918906293,1.850229098999037,0.7029611741653241,False
3,454.2671710225916,4.047034270891634,120.27045272042446,0.3191219293606307,94.06274977533779,35.22589132838623,1.0967222817298108,0.48951331348862936,False
4,450.48483060103734,4.092101333824567,119.04276504104243,0.31896174079804307,94.06402819256256,34.85951526728898,1.095443864505043,0.12313725239137341,False
5,447.64807528487165,4.125901631024266,118.12199928150591,0.31884159937610235,94.21373868767706,34.580052180316954,0.9457333693905383,0.15632583458064886,False
6,445.5205087977474,4.151251853924041,117.43142496185351,0.3187514933096468,94.28801566043109,34.40380696362613,0.8714563966365176,0.33257105127147213,False
7,443.9248339324042,4.170264521098872,116.91349422211422,0.31868391375980515,94.34530575571924,34.74137916087972,0.8141663013483651,0.005001145982113542,False
8,442.7280777833968,4.184524021479996,116.52504616730975,0.3186332290974239,94.64527581658434,34.72384024555901,0.5141962404832583,0.012537769338592852,False
9,441.83051067164126,4.195218646765839,116.2337101262064,0.31859521560063797,94.70950775545035,34.65966798864051,0.449964301617257,0.07671002625709633,False
10,441.15733533782463,4.2032396157302205,116.01520809537888,0.31856670547804855,94.78948467785627,34.71234680751826,0.36998737921133795,0.02403120737934472,False
11,440.65245383746213,4.209255342453507,115.85133157225825,0.3185453228861065,94.98103173921444,34.726099472630615,0.17844031785315906,0.010278542266988211,False
12,440.27379271219024,4.213767137495972,115.72842417991777,0.3185292859421499,95.0888106431964,34.7148081708962,0.07066141387120695,0.02156984400140516,False
13,439.98979686823634,4.21715098377782,115.63624363566241,0.3185172582341825,95.10656135263726,34.71532272863948,0.052910704430345845,0.02105528625812525,False
14,439.77679998527094,4.219688868489207,115.5671082274709,0.3185082374532069,95.1278753738848,34.778247372435374,0.03159668318279785,0.04186935753777021,True
15,439.6170523230469,4.221592282022748,115.51525667132725,0.31850147186747524,95.13697517511557,34.768336531247186,0.02249688195203703,0.03195851634958302,True
16,439.4972415763788,4.223019842172903,115.47636800421952,0.3184963976781765,95.13108482245599,34.768336531247186,0.028387234611614076,0.03195851634958302,True
17,439.40738351637776,4.224090512285519,115.44720150388872,0.3184925920362024,95.12199973855064,34.77640083498565,0.03747231851696142,0.040022820088047695,True
18,439.339989971377,4.224893514869981,115.42532662864062,0.31848973780472184,95.12245231316409,34.733575397016644,0.03701974390351381,0.0028026178809597013,True
19,439.2894448126264,4.2254957668083275,115.40892047220456,0.3184875971311114,95.12245231316409,34.733575397016644,0.03701974390351381,0.0028026178809597013,True
20,439.25153594356345,4.225947455762087,115.3966158548775,0.31848599162590363,95.16271858988584,34.733575397016644,0.003246532818238279,0.0028026178809597013,True
